id,name,description,category,muscle_groups,equipment_needed,difficulty,instructions,video_url,image_url,is_compound,is_custom,created_by,created_at,exercisedb_id,gif_url,tips,last_synced_at,sync_status
0184a3d6-acb6-4027-8aa7-f1ff0f7dd36c,Romanian Deadlift,Hamstring builder,full_body,"[""HAMSTRINGS"",""GLUTEUS MAXIMUS""]","[""DUMBBELL""]",intermediate,"[""Keep your back straight and your shoulders back as you begin to bend at the hips, pushing them back while you lower the barbell along the front of your legs."",""Continue lowering the barbell until it reaches mid-shin level, or until you feel a stretch in your hamstrings, making sure to keep the barbell close to your body throughout the movement."",""After reaching this position, pause for a moment, and then slowly reverse the movement by driving your hips forward and standing back up to the starting position, squeezing your glutes at the top."",""Remember to keep your core engaged and your back straight throughout the entire exercise to avoid injury.""]",https://cdn.exercisedb.dev/w/videos/sZiAup2/41n2hn8rpbYihzEW__Dumbbell-Romanian-Deadlift_Hips.mp4,https://cdn.exercisedb.dev/media/w/images/3wgSOkOkH5.jpg,true,false,,2026-01-17 20:27:32.902234+00,exr_41n2hn8rpbYihzEW,,"[""Maintain a Neutral Spine: One common mistake is rounding the back during the movement, which can lead to injury. Instead, keep your back straight and your core engaged throughout the exercise. Your shoulders should be back and down, not hunched."",""Hinge at the Hips: The Romanian Deadlift is a hip-hinge movement, meaning the action comes from bending at the hips, not the waist. Push your hips back as you lower the weights towards the ground, keeping them close to your legs to avoid straining your lower back."",""Don’t Lock Your Knees: Another common mistake is to lock your knees during the exercise. Your""]",,pending
0255a313-48f5-4722-83d3-e56768ee2798,Side Wrist Pull Stretch,,arms,"[""WRIST EXTENSORS""]","[""BODY WEIGHT""]",,"[""Extend your right arm out in front of you, with your palm facing down."",""With your left hand, gently grasp the fingers of your extended right hand."",""Slowly pull the fingers of your right hand towards your body until you feel a stretch along the top of your wrist and forearm."",""Hold this stretch for about 15 to 30 seconds, then release and switch to the other hand. Repeat this process for both hands as needed.""]",https://cdn.exercisedb.dev/w/videos/njePiaf/41n2hPxDaq9kFjiL__Side-Wrist-Pull-Stretch_Forearms.mp4,https://cdn.exercisedb.dev/media/w/images/MD01vy5NgQ.jpg,false,false,,2026-01-21 09:13:48.798146+00,exr_41n2hPxDaq9kFjiL,,"[""Correct Stretching Technique: Reach out with your other hand and gently pull your fingers down and towards your body until you feel a stretch in your forearm. Keep your arm straight during this process to ensure that the stretch is targeting the correct muscles."",""Maintain Control: It's crucial to avoid jerky movements or pulling too hard on your wrist. This could lead to strains or injuries. Instead, ensure that your movements are smooth and controlled, increasing the stretch gradually."",""Hold and Release: Hold the stretch for about 20-30 seconds, then release slowly. This will allow your muscles to relax and adapt to the stretch. Avoid releasing the stretch abruptly as it could lead to muscle strain."",""Common Mistakes to Avoid:""]",,pending
02e78bf5-26b7-4b2b-9892-439578c190b1,Dumbbell Decline One Arm Hammer Press,,arms,"[""PECTORALIS MAJOR STERNAL HEAD""]","[""DUMBBELL""]",,"[""Hold a dumbbell in one hand with a neutral grip (palms facing inward), at chest level, fully extending your arm upward to prepare for the press."",""Slowly lower the dumbbell towards your chest, keeping your elbow close to your body and ensuring that your wrist stays straight."",""Once the dumbbell is near your chest, push it back up to the starting position, fully extending your arm but not locking your elbow."",""Repeat this movement for the desired number of repetitions before switching to the other arm.""]",https://cdn.exercisedb.dev/w/videos/ueHqkGp/41n2hZ7uoN5JnUJY__Dumbbell-Decline-One-Arm-Hammer-Press_Upper-Arms_.mp4,https://cdn.exercisedb.dev/media/w/images/hxFWa9nXih.jpg,false,false,,2026-01-21 09:13:44.958074+00,exr_41n2hZ7uoN5JnUJY,,"[""Controlled Movement: This exercise involves lowering the dumbbell until your elbow is at a 90-degree angle, then pressing it back up to the starting position. It's important to perform this motion in a slow, controlled manner. Avoid the temptation to use momentum or to perform the exercise too quickly, as this can lead to poor form and potential injury."",""Use Appropriate Weight: Using a weight that's too heavy can compromise your form and increase your risk of injury. Start with a lighter weight and gradually increase as you get stronger. The last couple of reps should feel challenging, but you should still be able to maintain good form."",""Avoid Locking Your Elbows: When pressing the dumbbell""]",,pending
06f31a4b-2009-47ee-aece-0cfd360341f8,"Reverse Lunge ",,legs,"[""QUADRICEPS"",""GLUTEUS MAXIMUS""]","[""BODY WEIGHT""]",,"[""Take a step backward with your right foot, lowering your body into a lunge position. Your left knee should be directly above your left ankle and your right knee should be hovering just off the floor."",""Maintain a straight posture with your chest up and your gaze straight ahead, ensuring that your back knee is close but not touching the ground."",""Push off your right foot, returning to the starting position."",""Repeat the exercise with your left leg stepping backward, alternating legs for the desired number of repetitions.""]",https://cdn.exercisedb.dev/w/videos/PTiSEyK/41n2hGNrmUnF58Yy__Reverse-Lunge-(leg-kick)-(female)_Thighs2_.mp4,https://cdn.exercisedb.dev/media/w/images/XUs62RE49n.jpg,false,false,,2026-01-21 09:14:24.044506+00,exr_41n2hGNrmUnF58Yy,,"[""Avoid Leaning Forward: One common mistake many people make when performing reverse lunges is leaning too far forward, which can put unnecessary strain on your back and knees. To avoid this, focus on keeping your torso upright and your weight evenly distributed between both legs."",""Core Engagement: Engage your core throughout the entire movement. This not only helps with balance but also works your abdominal muscles."",""Controlled Movement: Don't rush through the exercise. Instead, perform each lunge with controlled, deliberate movements. This ensures you""]",,pending
07033f67-1694-480a-93f3-87de898cac2c,Tricep Dips,Tricep mass builder,arms,"[""triceps""]","[""dip_bars""]",intermediate,"[""Place your hands shoulder-width apart on the bench or chair, extend your legs out in front of you, and move your body forward so that your back is just in front of the bench."",""Slowly lower your body by bending your elbows until they form a 90-degree angle, ensuring your back is close to the bench."",""Once you reach the bottom of the movement, push your body back up using your triceps to bring your body back to the starting position."",""Repeat this movement for your desired number of repetitions, ensuring to maintain proper form throughout the exercise.""]",https://cdn.exercisedb.dev/w/videos/9MRTKkd/41n2hndkoGHD1ogh__Triceps-Dip_Upper-Arms_.mp4,https://cdn.exercisedb.dev/media/w/images/MDpZM9TtVE.jpg,true,false,,2026-01-17 20:27:32.902234+00,,,"[""Lowering Your Body: Bend your elbows to slowly lower your body towards the floor until your elbows are at a 90-degree angle. Ensure your back is close to the bench throughout this movement.    Common Mistake: Some people tend to move their body too far away from the bench, which puts unnecessary strain on the shoulders."",""Maintaining Form: Keep your core engaged and your shoulders down and back during the exercise. This helps to maintain proper form and targets the triceps more effectively.""]",,pending
0d575068-68ff-4d0f-84e3-70efc31bdbb7,Dumbbell Jumping Squat,,full_body,"[""HAMSTRINGS""]","[""DUMBBELL""]",,"[""Lower your body into a squat position by bending your knees and pushing your hips back, keeping your chest upright and your knees over your toes."",""Once you're in a deep squat, push through your heels to jump up explosively, swinging the dumbbells upward to shoulder height as you rise."",""As you land, control your body back into the squat position, absorbing the impact with your legs, and immediately prepare for the next jump."",""Repeat this process for the desired number of repetitions, maintaining a smooth and controlled rhythm throughout the exercise.""]",https://cdn.exercisedb.dev/w/videos/d0fWZfg/41n2huf7mAC2rhfC__Dumbbell-Jumping-Squat_Plyometric_.mp4,https://cdn.exercisedb.dev/media/w/images/ABplGdH6C1.jpg,false,false,,2026-01-21 09:13:57.144408+00,exr_41n2huf7mAC2rhfC,,"[""Squat Depth: When you squat down, make sure your thighs are at least parallel to the floor. Avoid the common mistake of not squatting deep enough, as this can limit the effectiveness of the exercise and place undue stress on your knees."",""Explosive Jump: The key to this exercise is the jumping component. As you rise from the squat, push through your heels and explode upwards, jumping as high as possible. A common mistake is not jumping with enough force, which can limit the exercise's effectiveness in strengthening your lower body and improving your vertical jump."",""Controlled Landing: Land softly and quietly, absorbing the impact with your legs by bending your knees and returning to the squat position""]",,pending
1252454e-5bd9-4bdd-9f13-fc81987368b9,"Elliptical Machine Walk ",,full_body,"[""HAMSTRINGS"",""QUADRICEPS"",""GLUTEUS MAXIMUS""]","[""LEVERAGE MACHINE""]",,"[""Set your desired workout settings on the machine's console, such as time, resistance level, and incline, if available."",""Begin the exercise by pushing the pedals in a smooth, gliding motion, making sure to keep your back straight and your core engaged."",""As you move your legs, also push and pull the handles with your arms, alternating as you would when naturally walking or running."",""Continue the exercise for your set duration, remembering to breathe evenly throughout, and gradually slow your pace at the end for a cool-down period.""]",https://cdn.exercisedb.dev/w/videos/wnfS9xw/41n2hpTMDhTxYkvi__Elliptical-Machine-Walk-(female)_Cardio.mp4,https://cdn.exercisedb.dev/media/w/images/tgjIfyDnSH.jpg,false,false,,2026-01-21 09:14:02.265834+00,exr_41n2hpTMDhTxYkvi,,"[""Full Foot Contact: Ensure your entire foot, from heel to toe, is in contact with the pedal throughout the movement. Some people tend to push through their toes, which can strain the calf muscles and reduce the overall effectiveness of the workout."",""Use the Handles: The handles are there to help engage your upper body. However, avoid pulling on them with too much force as this can lead to an imbalance and strain your arms. Instead, lightly grip the handles and use them to guide your motion."",""Appropriate Resistance and Speed: Start with a low resistance level and gradually increase it as your strength and endurance improve. Avoid setting the resistance too high as it can lead to strain and injury. Similarly, don't""]",,pending
132e1c46-aaa7-44d7-9c6e-99f640f1d8b6,"Two Legs Hammer Curl with Towel ",,arms,"[""BRACHIORADIALIS""]","[""BODY WEIGHT""]",,"[""Place a dumbbell or any weighted object in the center of the towel and hold it securely."",""Keeping your elbows close to your body, slowly lift the weighted towel towards your chest by bending your elbows."",""Once your hands reach chest level, pause for a moment, then slowly lower the towel back down to the starting position."",""Repeat this motion for your desired number of repetitions, ensuring to maintain control and proper form throughout the exercise.""]",https://cdn.exercisedb.dev/w/videos/z4Dufyo/41n2hqjVS3nwBoyr__Two-Legs-Hammer-Curl-with-Towel-(VERSION-2).mp4,https://cdn.exercisedb.dev/media/w/images/FSiUO8Qvgu.jpg,false,false,,2026-01-21 09:14:06.920471+00,exr_41n2hqjVS3nwBoyr,,"[""Controlled Movement: When you curl the towel upwards towards your shoulders, make sure to do it in a controlled manner. Do not use your back or shoulders to lift the weight; your biceps should do all the work. Jerky movements can cause harm and reduce the effectiveness of the exercise."",""Full Range of Motion: To get the maximum benefit from the Two Legs Hammer Curl with Towel, ensure you're using a full range of motion. Lower the towel all the way down before curling it back up. Not using the full range of motion can limit the growth and strength of your biceps."",""Breathing Technique""]",,pending
19870458-6a77-4bf2-8631-91035648804a,Chin-ups,Bicep and back,back,"[""lats"",""biceps""]","[""pull_up_bar""]",intermediate,"[""Pull your body upwards towards the bar, keeping your elbows close to your body and your core engaged."",""Continue to pull yourself up until your chin is above the bar, making sure to keep your body straight and not to swing."",""Hold the position for a second, then slowly lower yourself back down until your arms are fully extended."",""Repeat the process for the desired number of repetitions, ensuring to maintain proper form throughout.""]",https://cdn.exercisedb.dev/w/videos/fo9sp6c/41n2hXszY7TgwKy4__Chin-Up_Back_.mp4,https://cdn.exercisedb.dev/media/w/images/S7KbaJxkei.jpg,true,false,,2026-01-17 20:27:32.902234+00,,,"[""Avoid Using Momentum: A common mistake is using momentum to pull yourself up. This not only lessens the impact of the exercise on your muscles but also increases the risk of injury. Always perform chin-ups in a controlled manner, focusing on using your muscles to lift and lower your body."",""Full Range of Motion: To get the most out of the exercise, make sure to fully extend your arms at the bottom and pull yourself up until your chin is above the bar at the top. Half-reps won't engage your muscles to their full potential and can lead to imbalances."",""Engage Your Core: While the chin-up is primarily a back and biceps exercise, engaging your core can help maintain proper""]",,pending
1a74ba60-9f1e-49d3-9983-6e7a2fdd2652,Bodyweight Rear Lunge,,legs,"[""QUADRICEPS"",""GLUTEUS MAXIMUS""]","[""BODY WEIGHT""]",,"[""Take a step back with your right foot, keeping your left foot in place."",""Lower your body until your left thigh is parallel to the ground and your right knee is hovering just above the floor, ensuring your left knee is directly above your left ankle."",""Push off your right foot and return to the starting position."",""Repeat the process with your left leg stepping back, and continue to alternate legs for the duration of your workout.""]",https://cdn.exercisedb.dev/w/videos/4uTBU4U/41n2hNjcmNgtPJ1H__Bodyweight-Rear-Lunge_Thighs.mp4,https://cdn.exercisedb.dev/media/w/images/SmhYqZUV9x.jpg,false,false,,2026-01-21 09:14:22.992258+00,exr_41n2hNjcmNgtPJ1H,,"[""Core Engagement: Engage your core throughout the exercise. This will help maintain balance and stability, and also protect your lower back from strain. It's a common mistake to let your core relax, causing a bend or arch in your back, which can lead to injury."",""Avoid Leaning Forward: One common mistake is to lean forward during the lunge. This can put unnecessary strain on your knees and back. Keep your body upright and your shoulders back to avoid this."",""Don't Rush: Perform the""]",,pending
